sample_name	library_ID	title	Animal ID	Sex	Treatment	Region
ZF_MV_3	B17	"RNA-Seq of Taeniopygia guttata: PHD30 male HVC, vehicle treatment: ID_G1"	G1	M	Veh	HVC
ZF_MV_3	F1	"RNA-Seq of Taeniopygia guttata: PHD30 male Shelf, vehicle treatment: ID_G1"	G1	M	Veh	Shelf
ZF_MV_3	D7	"RNA-Seq of Taeniopygia guttata: PHD30 male LMAN, vehicle treatment: ID_G1"	G1	M	Veh	LMAN
ZF_MV_3	F9	"RNA-Seq of Taeniopygia guttata: PHD30 male Nido, vehicle treatment: ID_G1"	G1	M	Veh	L.Nido
ZF_MV_3	D16	"RNA-Seq of Taeniopygia guttata: PHD30 male AreaX, vehicle treatment: ID_G1"	G1	M	Veh	AreaX
ZF_MV_3	D11	"RNA-Seq of Taeniopygia guttata: PHD30 male MSt, vehicle treatment: ID_G1"	G1	M	Veh	MSt
ZF_FV_1	D12	"RNA-Seq of Taeniopygia guttata: PHD30 female RA, vehicle treatment: ID_B7"	B7	F	Veh	RA
ZF_FV_1	F17	"RNA-Seq of Taeniopygia guttata: PHD30 female LAi, vehicle treatment: ID_B7"	B7	F	Veh	LAi
ZF_FV_1	H7	"RNA-Seq of Taeniopygia guttata: PHD30 female HVC, vehicle treatment: ID_B7"	B7	F	Veh	HVC
ZF_FV_1	B4	"RNA-Seq of Taeniopygia guttata: PHD30 female Shelf, vehicle treatment: ID_B7"	B7	F	Veh	Shelf
ZF_FV_1	H11	"RNA-Seq of Taeniopygia guttata: PHD30 female LMAN, vehicle treatment: ID_B7"	B7	F	Veh	LMAN
ZF_FV_1	G0	"RNA-Seq of Taeniopygia guttata: PHD30 female Nido, vehicle treatment: ID_B7"	B7	F	Veh	L.Nido
ZF_FV_1	D5	"RNA-Seq of Taeniopygia guttata: PHD30 female AreaX, vehicle treatment: ID_B7"	B7	F	Veh	AreaX
ZF_FV_1	F2	"RNA-Seq of Taeniopygia guttata: PHD30 female MSt, vehicle treatment: ID_B7"	B7	F	Veh	MSt
ZF_FV_2	C9	"RNA-Seq of Taeniopygia guttata: PHD30 female RA, vehicle treatment: ID_D4"	D4	F	Veh	RA
ZF_FV_2	A16	"RNA-Seq of Taeniopygia guttata: PHD30 female LAi, vehicle treatment: ID_D4"	D4	F	Veh	LAi
ZF_FV_2	G15	"RNA-Seq of Taeniopygia guttata: PHD30 female HVC, vehicle treatment: ID_D4"	D4	F	Veh	HVC
ZF_FV_2	A7	"RNA-Seq of Taeniopygia guttata: PHD30 female Shelf, vehicle treatment: ID_D4"	D4	F	Veh	Shelf
ZF_FV_2	G8	"RNA-Seq of Taeniopygia guttata: PHD30 female LMAN, vehicle treatment: ID_D4"	D4	F	Veh	LMAN
ZF_FV_2	A11	"RNA-Seq of Taeniopygia guttata: PHD30 female Nido, vehicle treatment: ID_D4"	D4	F	Veh	L.Nido
ZF_FV_2	C1	"RNA-Seq of Taeniopygia guttata: PHD30 female AreaX, vehicle treatment: ID_D4"	D4	F	Veh	AreaX
ZF_FV_2	E3	"RNA-Seq of Taeniopygia guttata: PHD30 female MSt, vehicle treatment: ID_D4"	D4	F	Veh	MSt
ZF_FV_3	B13	"RNA-Seq of Taeniopygia guttata: PHD30 female RA, vehicle treatment: ID_H5"	H5	F	Veh	RA
ZF_FV_3	F8	"RNA-Seq of Taeniopygia guttata: PHD30 female LAi, vehicle treatment: ID_H5"	H5	F	Veh	LAi
ZF_FV_3	H6	"RNA-Seq of Taeniopygia guttata: PHD30 female HVC, vehicle treatment: ID_H5"	H5	F	Veh	HVC
ZF_FV_3	B9	"RNA-Seq of Taeniopygia guttata: PHD30 female Shelf, vehicle treatment: ID_H5"	H5	F	Veh	Shelf
ZF_FV_3	H13	"RNA-Seq of Taeniopygia guttata: PHD30 female LMAN, vehicle treatment: ID_H5"	H5	F	Veh	LMAN
ZF_FV_3	B1	"RNA-Seq of Taeniopygia guttata: PHD30 female Nido, vehicle treatment: ID_H5"	H5	F	Veh	L.Nido
ZF_FV_3	D3	"RNA-Seq of Taeniopygia guttata: PHD30 female AreaX, vehicle treatment: ID_H5"	H5	F	Veh	AreaX
ZF_FV_3	F15	"RNA-Seq of Taeniopygia guttata: PHD30 female MSt, vehicle treatment: ID_H5"	H5	F	Veh	MSt
ZF_ME_1	H5	"RNA-Seq of Taeniopygia guttata: PHD30 male RA, estradiol treatment: ID_F1"	F1	M	E2	RA
ZF_ME_1	B6	"RNA-Seq of Taeniopygia guttata: PHD30 male LAi, estradiol treatment: ID_F1"	F1	M	E2	LAi
ZF_ME_1	D14	"RNA-Seq of Taeniopygia guttata: PHD30 male HVC, estradiol treatment: ID_F1"	F1	M	E2	HVC
ZF_ME_1	C0	"RNA-Seq of Taeniopygia guttata: PHD30 male Shelf, estradiol treatment: ID_F1"	F1	M	E2	Shelf
ZF_ME_1	D10	"RNA-Seq of Taeniopygia guttata: PHD30 male LMAN, estradiol treatment: ID_F1"	F1	M	E2	LMAN
ZF_ME_1	F4	"RNA-Seq of Taeniopygia guttata: PHD30 male Nido, estradiol treatment: ID_F1"	F1	M	E2	L.Nido
ZF_ME_1	H12	"RNA-Seq of Taeniopygia guttata: PHD30 male AreaX, estradiol treatment: ID_F1"	F1	M	E2	AreaX
ZF_ME_1	F16	"RNA-Seq of Taeniopygia guttata: PHD30 male MSt, estradiol treatment: ID_F1"	F1	M	E2	MSt
ZF_ME_2	F14	"RNA-Seq of Taeniopygia guttata: PHD30 male RA, estradiol treatment: ID_F2"	F2	M	E2	RA
ZF_ME_2	A0	"RNA-Seq of Taeniopygia guttata: PHD30 male LAi, estradiol treatment: ID_F2"	F2	M	E2	LAi
ZF_ME_2	B8	"RNA-Seq of Taeniopygia guttata: PHD30 male HVC, estradiol treatment: ID_F2"	F2	M	E2	HVC
ZF_ME_2	H16	"RNA-Seq of Taeniopygia guttata: PHD30 male Shelf, estradiol treatment: ID_F2"	F2	M	E2	Shelf
ZF_ME_2	D13	"RNA-Seq of Taeniopygia guttata: PHD30 male LMAN, estradiol treatment: ID_F2"	F2	M	E2	LMAN
ZF_ME_2	D6	"RNA-Seq of Taeniopygia guttata: PHD30 male Nido, estradiol treatment: ID_F2"	F2	M	E2	L.Nido
ZF_ME_2	F10	"RNA-Seq of Taeniopygia guttata: PHD30 male AreaX, estradiol treatment: ID_F2"	F2	M	E2	AreaX
ZF_ME_2	H4	"RNA-Seq of Taeniopygia guttata: PHD30 male MSt, estradiol treatment: ID_F2"	F2	M	E2	MSt
ZF_ME_3	E13	"RNA-Seq of Taeniopygia guttata: PHD30 male RA, estradiol treatment: ID_B3"	B3	M	E2	RA
ZF_ME_3	A15	"RNA-Seq of Taeniopygia guttata: PHD30 male LAi, estradiol treatment: ID_B3"	B3	M	E2	LAi
ZF_ME_3	G14	"RNA-Seq of Taeniopygia guttata: PHD30 male HVC, estradiol treatment: ID_B3"	B3	M	E2	HVC
ZF_ME_3	C8	"RNA-Seq of Taeniopygia guttata: PHD30 male Shelf, estradiol treatment: ID_B3"	B3	M	E2	Shelf
ZF_ME_3	A3	"RNA-Seq of Taeniopygia guttata: PHD30 male LMAN, estradiol treatment: ID_B3"	B3	M	E2	LMAN
ZF_ME_3	C15	"RNA-Seq of Taeniopygia guttata: PHD30 male Nido, estradiol treatment: ID_B3"	B3	M	E2	L.Nido
ZF_ME_3	E6	"RNA-Seq of Taeniopygia guttata: PHD30 male AreaX, estradiol treatment: ID_B3"	B3	M	E2	AreaX
ZF_ME_3	G10	"RNA-Seq of Taeniopygia guttata: PHD30 male MSt, estradiol treatment: ID_B3"	B3	M	E2	MSt
ZF_FE_1	B10	"RNA-Seq of Taeniopygia guttata: PHD30 female RA, estradiol treatment: ID_B1"	B1	F	E2	RA
ZF_FE_1	D4	"RNA-Seq of Taeniopygia guttata: PHD30 female LAi, estradiol treatment: ID_B1"	B1	F	E2	LAi
ZF_FE_1	F5	"RNA-Seq of Taeniopygia guttata: PHD30 female HVC, estradiol treatment: ID_B1"	B1	F	E2	HVC
ZF_FE_1	H2	"RNA-Seq of Taeniopygia guttata: PHD30 female Shelf, estradiol treatment: ID_B1"	B1	F	E2	Shelf
ZF_FE_1	F12	"RNA-Seq of Taeniopygia guttata: PHD30 female LMAN, estradiol treatment: ID_B1"	B1	F	E2	LMAN
ZF_FE_1	H17	"RNA-Seq of Taeniopygia guttata: PHD30 female Nido, estradiol treatment: ID_B1"	B1	F	E2	L.Nido
ZF_FE_1	B14	"RNA-Seq of Taeniopygia guttata: PHD30 female AreaX, estradiol treatment: ID_B1"	B1	F	E2	AreaX
ZF_FE_1	E0	"RNA-Seq of Taeniopygia guttata: PHD30 female MSt, estradiol treatment: ID_B1"	B1	F	E2	MSt
ZF_FE_2	A2	"RNA-Seq of Taeniopygia guttata: PHD30 female RA, estradiol treatment: ID_F3"	F3	F	E2	RA
ZF_FE_2	C7	"RNA-Seq of Taeniopygia guttata: PHD30 female LAi, estradiol treatment: ID_F3"	F3	F	E2	LAi
ZF_FE_2	E1	"RNA-Seq of Taeniopygia guttata: PHD30 female HVC, estradiol treatment: ID_F3"	F3	F	E2	HVC
ZF_FE_2	G3	"RNA-Seq of Taeniopygia guttata: PHD30 female Shelf, estradiol treatment: ID_F3"	F3	F	E2	Shelf
ZF_FE_2	E9	"RNA-Seq of Taeniopygia guttata: PHD30 female LMAN, estradiol treatment: ID_F3"	F3	F	E2	LMAN
ZF_FE_2	C16	"RNA-Seq of Taeniopygia guttata: PHD30 female Nido, estradiol treatment: ID_F3"	F3	F	E2	L.Nido
ZF_FE_2	A17	"RNA-Seq of Taeniopygia guttata: PHD30 female AreaX, estradiol treatment: ID_F3"	F3	F	E2	AreaX
ZF_FE_2	C11	"RNA-Seq of Taeniopygia guttata: PHD30 female MSt, estradiol treatment: ID_F3"	F3	F	E2	MSt
ZF_FE_3	F11	"RNA-Seq of Taeniopygia guttata: PHD30 female RA, estradiol treatment: ID_F4"	F4	F	E2	RA
ZF_FE_3	H1	"RNA-Seq of Taeniopygia guttata: PHD30 female LAi, estradiol treatment: ID_F4"	F4	F	E2	LAi
ZF_FE_3	B12	"RNA-Seq of Taeniopygia guttata: PHD30 female HVC, estradiol treatment: ID_F4"	F4	F	E2	HVC
ZF_FE_3	D17	"RNA-Seq of Taeniopygia guttata: PHD30 female Shelf, estradiol treatment: ID_F4"	F4	F	E2	Shelf
ZF_FE_3	B5	"RNA-Seq of Taeniopygia guttata: PHD30 female LMAN, estradiol treatment: ID_F4"	F4	F	E2	LMAN
ZF_FE_3	D2	"RNA-Seq of Taeniopygia guttata: PHD30 female Nido, estradiol treatment: ID_F4"	F4	F	E2	L.Nido
ZF_FE_3	F7	"RNA-Seq of Taeniopygia guttata: PHD30 female AreaX, estradiol treatment: ID_F4"	F4	F	E2	AreaX
ZF_FE_3	H9	"RNA-Seq of Taeniopygia guttata: PHD30 female MSt, estradiol treatment: ID_F4"	F4	F	E2	MSt
ZF_MX_1	B7	"RNA-Seq of Taeniopygia guttata: PHD30 male RA, exemestane treatment: ID_H6"	H6	M	Exem	RA
ZF_MX_1	D9	"RNA-Seq of Taeniopygia guttata: PHD30 male LAi, exemestane treatment: ID_H6"	H6	M	Exem	LAi
ZF_MX_1	F3	"RNA-Seq of Taeniopygia guttata: PHD30 male HVC, exemestane treatment: ID_H6"	H6	M	Exem	HVC
ZF_MX_1	H15	"RNA-Seq of Taeniopygia guttata: PHD30 male Shelf, exemestane treatment: ID_H6"	H6	M	Exem	Shelf
ZF_MX_1	B16	"RNA-Seq of Taeniopygia guttata: PHD30 male LMAN, exemestane treatment: ID_H6"	H6	M	Exem	LMAN
ZF_MX_1	H8	"RNA-Seq of Taeniopygia guttata: PHD30 male Nido, exemestane treatment: ID_H6"	H6	M	Exem	L.Nido
ZF_MX_1	B11	"RNA-Seq of Taeniopygia guttata: PHD30 male AreaX, exemestane treatment: ID_H6"	H6	M	Exem	AreaX
ZF_MX_1	D1	"RNA-Seq of Taeniopygia guttata: PHD30 male MSt, exemestane treatment: ID_H6"	H6	M	Exem	MSt
ZF_MX_2	G1	"RNA-Seq of Taeniopygia guttata: PHD30 male RA, exemestane treatment: ID_I1"	I1	M	Exem	RA
ZF_MX_2	A5	"RNA-Seq of Taeniopygia guttata: PHD30 male LAi, exemestane treatment: ID_I1"	I1	M	Exem	LAi
ZF_MX_2	C17	"RNA-Seq of Taeniopygia guttata: PHD30 male HVC, exemestane treatment: ID_I1"	I1	M	Exem	HVC
ZF_MX_2	E11	"RNA-Seq of Taeniopygia guttata: PHD30 male Shelf, exemestane treatment: ID_I1"	I1	M	Exem	Shelf
ZF_MX_2	C2	"RNA-Seq of Taeniopygia guttata: PHD30 male LMAN, exemestane treatment: ID_I1"	I1	M	Exem	LMAN
ZF_MX_2	E7	"RNA-Seq of Taeniopygia guttata: PHD30 male Nido, exemestane treatment: ID_I1"	I1	M	Exem	L.Nido
ZF_MX_2	G9	"RNA-Seq of Taeniopygia guttata: PHD30 male AreaX, exemestane treatment: ID_I1"	I1	M	Exem	AreaX
ZF_MX_2	A12	"RNA-Seq of Taeniopygia guttata: PHD30 male MSt, exemestane treatment: ID_I1"	I1	M	Exem	MSt
ZF_MX_3	C4	"RNA-Seq of Taeniopygia guttata: PHD30 male RA, exemestane treatment: ID_C0"	C0	M	Exem	RA
ZF_MX_3	E12	"RNA-Seq of Taeniopygia guttata: PHD30 male LAi, exemestane treatment: ID_C0"	C0	M	Exem	LAi
ZF_MX_3	G2	"RNA-Seq of Taeniopygia guttata: PHD30 male HVC, exemestane treatment: ID_C0"	C0	M	Exem	HVC
ZF_MX_3	A10	"RNA-Seq of Taeniopygia guttata: PHD30 male Shelf, exemestane treatment: ID_C0"	C0	M	Exem	Shelf
ZF_MX_3	G17	"RNA-Seq of Taeniopygia guttata: PHD30 male LMAN, exemestane treatment: ID_C0"	C0	M	Exem	LMAN
ZF_MX_3	A14	"RNA-Seq of Taeniopygia guttata: PHD30 male Nido, exemestane treatment: ID_C0"	C0	M	Exem	L.Nido
ZF_MX_3	F0	"RNA-Seq of Taeniopygia guttata: PHD30 male AreaX, exemestane treatment: ID_C0"	C0	M	Exem	AreaX
ZF_MX_3	E5	"RNA-Seq of Taeniopygia guttata: PHD30 male MSt, exemestane treatment: ID_C0"	C0	M	Exem	MSt
ZF_FX_1	B0	"RNA-Seq of Taeniopygia guttata: PHD30 female RA, exemestane treatment: ID_C5"	C5	F	Exem	RA
ZF_FX_1	C13	"RNA-Seq of Taeniopygia guttata: PHD30 female LAi, exemestane treatment: ID_C5"	C5	F	Exem	LAi
ZF_FX_1	G16	"RNA-Seq of Taeniopygia guttata: PHD30 female HVC, exemestane treatment: ID_C5"	C5	F	Exem	HVC
ZF_FX_1	E14	"RNA-Seq of Taeniopygia guttata: PHD30 female Shelf, exemestane treatment: ID_C5"	C5	F	Exem	Shelf
ZF_FX_1	C6	"RNA-Seq of Taeniopygia guttata: PHD30 female LMAN, exemestane treatment: ID_C5"	C5	F	Exem	LMAN
ZF_FX_1	E10	"RNA-Seq of Taeniopygia guttata: PHD30 female Nido, exemestane treatment: ID_C5"	C5	F	Exem	L.Nido
ZF_FX_1	G4	"RNA-Seq of Taeniopygia guttata: PHD30 female AreaX, exemestane treatment: ID_C5"	C5	F	Exem	AreaX
ZF_FX_1	A8	"RNA-Seq of Taeniopygia guttata: PHD30 female MSt, exemestane treatment: ID_C5"	C5	F	Exem	MSt
ZF_FX_2	A6	"RNA-Seq of Taeniopygia guttata: PHD30 female RA, exemestane treatment: ID_I2"	I2	F	Exem	RA
ZF_FX_2	C10	"RNA-Seq of Taeniopygia guttata: PHD30 female LAi, exemestane treatment: ID_I2"	I2	F	Exem	LAi
ZF_FX_2	D0	"RNA-Seq of Taeniopygia guttata: PHD30 female HVC, exemestane treatment: ID_I2"	I2	F	Exem	HVC
ZF_FX_2	G5	"RNA-Seq of Taeniopygia guttata: PHD30 female Shelf, exemestane treatment: ID_I2"	I2	F	Exem	Shelf
ZF_FX_2	E4	"RNA-Seq of Taeniopygia guttata: PHD30 female LMAN, exemestane treatment: ID_I2"	I2	F	Exem	LMAN
ZF_FX_2	G12	"RNA-Seq of Taeniopygia guttata: PHD30 female Nido, exemestane treatment: ID_I2"	I2	F	Exem	L.Nido
ZF_FX_2	E16	"RNA-Seq of Taeniopygia guttata: PHD30 female AreaX, exemestane treatment: ID_I2"	I2	F	Exem	AreaX
ZF_FX_2	C14	"RNA-Seq of Taeniopygia guttata: PHD30 female MSt, exemestane treatment: ID_I2"	I2	F	Exem	MSt
ZF_FX_3	D8	"RNA-Seq of Taeniopygia guttata: PHD30 female RA, exemestane treatment: ID_F0"	F0	F	Exem	RA
ZF_FX_3	F13	"RNA-Seq of Taeniopygia guttata: PHD30 female LAi, exemestane treatment: ID_F0"	F0	F	Exem	LAi
ZF_FX_3	H10	"RNA-Seq of Taeniopygia guttata: PHD30 female HVC, exemestane treatment: ID_F0"	F0	F	Exem	HVC
ZF_FX_3	H14	"RNA-Seq of Taeniopygia guttata: PHD30 female Shelf, exemestane treatment: ID_F0"	F0	F	Exem	Shelf
ZF_FX_3	B15	"RNA-Seq of Taeniopygia guttata: PHD30 female LMAN, exemestane treatment: ID_F0"	F0	F	Exem	LMAN
ZF_FX_3	B3	"RNA-Seq of Taeniopygia guttata: PHD30 female Nido, exemestane treatment: ID_F0"	F0	F	Exem	L.Nido
ZF_FX_3	D15	"RNA-Seq of Taeniopygia guttata: PHD30 female AreaX, exemestane treatment: ID_F0"	F0	F	Exem	AreaX
ZF_FX_3	F6	"RNA-Seq of Taeniopygia guttata: PHD30 female MSt, exemestane treatment: ID_F0"	F0	F	Exem	MSt
